Razão Social;Fundo;Código
PANORAMA CRÉDITO RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII PNCR;PNCR;
PANORAMA DESENVOLVIMENTO LOGÍSTICO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII PANORAMA;PNDL;
PANORAMA LAST MILE SBC - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII LASTMILE;PNLM;
PANORAMA PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PAN PROP;PNPR;
PANORAMA REAL ESTATE CRÉDITO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII PNRC;PNRC;
PARAMIS HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII PMIS;PMIS;
PARKING PARTNERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP LIMITADA;FII PARK PAR;VTVI;
PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PARQ ANH;PQAG;
PATAGÔNIA CAPITAL MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PATA;PATA;
PATEO BANDEIRANTES - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII PTO BAND;PATB;
PÁTRIA EDIFÍCIOS CORPORATIVOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII PATC VBI;PATC;
PATRIA ESCRITÓRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGRE PAX;HGRE;
PATRIA IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGFF PAX;HGFF;
PÁTRIA LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGLG PAX;HGLG;
PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PATL VBI;PATL;
PATRIA PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGPO PAX;HGPO;
PÁTRIA RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGCR PAX;HGCR;
PÁTRIA RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII HGRU PAX;HGRU;
PERFORMA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII PERFORMA;PEMA;
PERSONALE I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII PERSONAL;PRSN;
PLURAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PLURAL R;PLCR;
POLO CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII POLO CRI;PORD;
POLO FII - FII RECEBÍVEIS IMOBILIÁRIOS I - RESPONSABILIDADE LIMITADA;FII POLO I;PLRI;
PRAIA DO CASTELO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII PRAIA CS;PCAS;
PRESIDENTE VARGAS FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII P VARGAS;PRSV;
PROJETO ÁGUA BRANCA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII A BRANCA;FPAB;
PROLOGIS BRAZIL LOGISTICS VENTURE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII PROLOGIS;PBLV;
QUARTZO REAL ESTATE DEVELOPMENT MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE L;FII QTZD;QTZD;
RAIZZ DESENVOLVIMENTO I FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII RZZV;RZZV;
RAIZZ DESENVOLVIMENTO II FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RZZI;RZZI;
RAIZZ RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RZZR;RZZR;
RB CAPITAL DESENV. RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;FII RBRESID2;RBDS;
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL III FII - RESPONSABILIDADE LIMITADA;FII RBRESID3;RSPD;
RB CAPITAL DESENVOLVIMENTO RESIDENCIAL IV FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP. LTDA.;FII RBRES IV;RBIR;
RB CAPITAL I FUNDO DE FUNDOS -RESPONSABILIDADE LIMITADA;FII RB CFOF;RFOF;
RB CAPITAL LOGÍSTICO FUNDO DE INVESTIMENTO IMOBILIÁRIO  FII RESPONSABILIDADE LIMITADA;FII RBCAP LG;RBLG;
RB CAPITAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESP LIMITADA;FII RBCAP RI;RRCI;
RB CAPITAL RENDA I FUNDO DE INVESTIMENTO IMOBILIARIO - FII - RESPONSABILIDADE LIMITADA;FII RB CAP I;FIIP;
RB CAPITAL RENDA II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII RB II;RBRD;
RB CAPITAL TFO SITUS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESPONSABILIDADE LIMITADA;FII RB TFO;RBTS;
RB DESENVOLVIMENTO RESIDENCIAL V FUNDO DE INVESTIMENTO IMOBILIÁRIO -RESPONSABILIDADE LIMITADA;FII DRIM;DRIM;
RB INVESTIMENTOS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIORESPONSABILIDADE LIMITADA;FII MTES;MTES;
RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RBRALPHA;RBRF;
RBR DESENVOLVIMENTO COMERCIAL FEEDER FOF - FII RESPONSABILIDADE LIMITADA;FII RBR FEED;RCFF;
RBR DESENVOLVIMENTO COMERCIAL I - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RDCI;RDCI;
RBR DESENVOLVIMENTO LOGÍSTICO I - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RDLI;RDLI;
RBR FLAGSHIP I FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII SHIP;SHIP;
RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RBR LOG;RBRL;
RBR PLUS MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RBR MULT;RBRX;
RBR PREMIUM RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RBR PR;RPRI;
RBR PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RBRK;RBRK;
RBR TOP OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TOPP;TOPP;
REAG MULTI ATIVOS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII REAGMULT;RMAI;
REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII REAL INV;RINV;
REAL INVESTOR RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RCRI;RCRI;
REC FUNDO DE CRI COTAS AMORTIZÁVEIS - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII RECD;RECD;
REC MASTER FUNDO DE CRI COTAS AMORTIZÁVEIS FII - RESPONSABILIDADE LIMITADA;FII RMBS;RMBS;
REC MULTIESTRATÉGIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII RECM;RECM;
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FUNDO DE INVESTIMENTO  IMOBILIÁRIO - FII RESP LIMITADA;FII RBCRI IV;RBHG;
RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESP LIMITADA;FII RB YIELD;RBHY;
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII RIOB FF;RBFF;
RIO BRAVO OPORTUNIDADES IMOBILIÁRIAS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII MERC BR;RBOP;
RIO BRAVO RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII RIOB RC;RCRB;
RIO BRAVO RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII RIOB RR;RBRS;
RIO BRAVO RENDA VAREJO FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII RIOB VA;RBVA;
RIO NEGRO FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII RIONEGRO;RNGO;
RIZA AKIN FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RIZA AKN;RZAK;
RIZA ARCTIUM REAL ESTATE FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII ARCTIUM;RZAT;
RIZA LECCI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII RZLC;RZLC;
ROCK FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII ROCK;RCKF;
SANTANDER PAPÉIS IMOBILIÁRIOS CDI FUNDO  DE INVESTIMENTO IMOBILIÁRIO - RESP LIMITADA;FII SANT PAP;SADI;
SANTANDER PAPÉIS IMOBILIÁRIOS FUNDO DE  INVESTIMENTO IMOBILIÁRIO - RESP LIMITADA;FII SAPI;SAPI;
SANTANDER RENDA DE ALUGUÉIS FUNDO DE  INVESTIMENTO IMOBILIÁRIO - FII - RESP LIMITADA;FII SANT REN;SARE;
SÃO DOMINGOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII DOMINGOS;FISD;
SCP FII - RESPONSABIOLIDADE LIMITADA;FII SCP;SCPF;
SEQUÓIA III RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII SEQUOIA;SEQR;
SHOPPING PÁTIO HIGIENÓPOLIS FUNDO DE INVESTIMENTO IMOBILÁRIO DE RESPONSABILIDADE LIMITADA;FII HIGIENOP;SHPH;
SHOPPING PÁTIO PAULISTA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE  LIMITADA;FII SHPP;SHPP;
SHOPPING WEST PLAZA FUNDO DE INVESTIMENTO IMOBILIARIO;FII W PLAZA;WPLZ;
SINGULARE FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII REIT RIV;REIT;
SJ AU LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII SJ AU;SJAU;
SOLARIUM FII - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SOLARIUM;SOLR;
SP DOWNTOWN FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII SP DOWNT;SPTW;
SPA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SPA;SPAF;
SPECIALE BLUE REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII SPECIALE;LTMT;
SPECIALE REAL ESTATE DEVELOPMENT FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII DVLP;DVLP;
SPECIALE REAL ESTATE DEVELOPMENT II FUNDO DE INVESTIMENTO  IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII DVLT;DVLT;
SPECIALE REAL ESTATE FUND OF FUNDS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII PMFO;PMFO;
SPGM FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SPGM;SPGM;
SPGM II FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SPG2;SPG2;
SPX REAL ESTATE DESENVOLVIMENTO DE GALPÕES LOGÍSTICOS FEEDER BRADESCO FII RESPONSABILIDADE LIMITADA;FII SPXM;SPXM;
SPX REAL ESTATE DESENVOLVIMENTO DE GALPÕES LOGÍSTICOS FEEDER INSTITUCIONAL FII RESP LIMITADA;FII SPXL;SPXL;
SPX REAL ESTATE DESENVOLVIMENTO DE GALPÕES LOGÍSTICOS FEEDER PRIVATE FII RESPONSABILIDADE LIMITADA;FII SPXG;SPXG;
SPX REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII SPX SYN;SPXS;
STARX FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;FII STARX;STRX;
SULAMÉRICA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII SURE;SURE;
SUNO ENERGIAS LIMPAS FUNDO DE INVESTIMENTO IMOBILIÁRIO IS RESPONSABILIDADE LIMITADA;FII SUNO EL;SNEL;
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE;FII SUNOFOFI;SNFF;
SUNO LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII SUNO LG;SNLG;
SUNO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII SNME;SNME;
SUNO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII SUNO CRI;SNCI;
SUPREMO FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII SUPREMO;SPMO;
TELLUS DESENVOLVIMENTO LOGÍSTICO - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TELLUS;TELD;
TELLUS MULTIESTRATÉGIA - FII FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TELM;TELM;
TELLUS PROPERTIES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII TEL PROP;TEPP;
TELLUS RIO BRAVO RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII SDI LOG;TRBL;
TEN DESENVOLVIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII NAUI;NAUI;
TISHMAN SPEYER RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII TISHMAN;TSER;
TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TIVIO RI;TVRI;
TIVIO SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII V MASTER;VOTS;
TJK RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII TJK REND;TJKB;
TORDESILHAS EI FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TORDE EI;TORD;
TRANSINC FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TRANSINC;TSNC;
TREECORP REAL ESTATE FII - RESPONSABILIDADE LIMITADA;FII TREECORP;TCPF;
TRX HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII TRXY;TRXY;
TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII TRX REAL;TRXF;
TRX REAL ESTATE II FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII TRX R II;TRXB;
URCA HEDGE FUND ESTRATÉGIA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII URHF;URHF;
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII URCA REN;URPR;
V2 EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII V2EDCORP;VVCO;
V2 MULTI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII MULT REN;VVMR;
V2 PRIME PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESPONSABILIDADE LIMITADA;FII V2 PRIME;VPPR;
V2 RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII V2 RECE;VVCR;
V2 RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII V2 RENDA;VVRI;
VALORA CRI CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII VALREIII;VGIR;
VALORA CRI ÍNDICE DE PREÇO FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII VALORAIP;VGIP;
VALORA CRI INFRA II FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII VGII;VGII;
VALORA HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII VALOR HE;VGHF;
VALORA RENDA IMOBILIÁRIA FUNDO DE  INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII VGRI;VGRI;
VBI AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII PLAG;PLAG;
VBI OFFICE FUND II - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE  LIMITADA;FII BLMO VBI;BLMO;
VBI REITS MULTIESTRATEGIA FUNDO  DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;FII RVBI VBI;RVBI;
VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII VECTIS;VCJR;
VECTIS RENDA RESIDENCIAL FII RESP LIMITADA;FII VECT REN;VCRR;
VECTOR QUELUZ LAJES CORPORATIVAS FUNDO DE INVESTIMENTO IMOBILIARIO;FII VQ LAJES;VLJS;
VÊNUS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII VENUS;SALI;
VERA CRUZ CRI RESIDENCIAL HIGH GRADE - RESPONSABILIDADE LIMITADA;FII VCHG;VCHG;
VERA CRUZ THREE FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII VCTH;VCTH;
VERSALHES RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII VERS CRI;VSLH;
VIA PARQUE SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII V PARQUE;FVPQ;
VIC DESENVOLVIMENTO - VINTAGE 20/21 FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VIC DES;VIDS;
VIC DESENVOLVIMENTO VINTAGE 22/23 FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII VIC VIN;VDSV;
VINCI CREDIT SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VINCI CR;VCRI;
VINCI IMÓVEIS URBANOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE  LIMITADA;FII VINCI IU;VIUR;
VINCI INSTRUMENTOS FINANCEIROS 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VIFI 3;VLQI;
VINCI INSTRUMENTOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII;FII VINCI IF;VIFI;
VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VINCI LG;VILG;
VINCI MOZAK RESIDENCIAL II FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VIMO;VIMO;
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VINCI OF;VINO;
VINCI OPORTUNIDADES LOGÍSTICAS FII RESPONSABILIDADE LIMITADA;FII VIOL;VIOL;
VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII VINCI SC;VISC;
WARREN SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;FII WARREN;WSEC;
WHG FINVEST SP REALTY FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII WHG F SP;SPDE;
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII WHG REAL;WHGR;
XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;FII XP MACAE;XPCM;
XP CRÉDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII XP CRED;XPCI;
XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII XP INDL;XPIN;
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA - FII;FII XP LOG;XPLG;
XP MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;FII XP MALLS;XPML;
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO - FII;FII XP SELEC;XPSF;
YUCA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII YUCA;YUFI;
ZAGROS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;FII ZAGH;ZAGH;
ZAVIT CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII ZAVIT C;ZAVC;
ZAVIT REAL ESTATE FUND - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;FII ZAVIT R;ZAVI;
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII RESPONSABILIDADE LIMITADA;FII ZION;ZIFI;
